prompt,response,instructions
"Attacker HP: 1942, MP: 66. Supporter HP: 407, MP: 60. Enemy HP: 7121, MP: 617. Attacker items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""attack"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 351, MP: 61. Supporter HP: 2152, MP: 7. Enemy HP: 2501, MP: 396. Attacker items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Last enemy move: fire spell.","{""attacker"": ""thunder spell"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 691, MP: 18. Supporter HP: 745, MP: 34. Enemy HP: 1712, MP: 182. Attacker items: {'potion': 3, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 1, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""grenade"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1755, MP: 58. Supporter HP: 169, MP: 14. Enemy HP: 2689, MP: 4. Attacker items: {'potion': 0, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 1, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""thunder spell"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [attack]""}"
"Attacker HP: 216, MP: 71. Supporter HP: 1108, MP: 102. Enemy HP: 1742, MP: 627. Attacker items: {'potion': 2, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 2, 'grenade': 1, 'elixer': 1}. Last enemy move: fire spell.","{""attacker"": ""blizzard spell"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 1801, MP: 44. Supporter HP: 380, MP: 16. Enemy HP: 454, MP: 83. Attacker items: {'potion': 3, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 0, 'elixer': 1}. Last enemy move: fire spell.","{""attacker"": ""potion"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [elixer] to fully restore MP and HP""}"
"Attacker HP: 885, MP: 115. Supporter HP: 1015, MP: 68. Enemy HP: 4768, MP: 72. Attacker items: {'potion': 1, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 0, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""grenade"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1189, MP: 114. Supporter HP: 378, MP: 137. Enemy HP: 1761, MP: 57. Attacker items: {'potion': 3, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 0, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""elixer"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 324, MP: 50. Supporter HP: 38, MP: 134. Enemy HP: 2627, MP: 339. Attacker items: {'potion': 2, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""cura spell"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 1668, MP: 114. Supporter HP: 569, MP: 109. Enemy HP: 7012, MP: 664. Attacker items: {'potion': 3, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 2, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""blizzard spell"", ""supporter"": ""cura_totm""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 394, MP: 13. Supporter HP: 1550, MP: 173. Enemy HP: 4709, MP: 424. Attacker items: {'potion': 2, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 1, 'elixer': 1}. Last enemy move: fire spell.","{""attacker"": ""attack"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [potion] to restore some HP"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 2419, MP: 118. Supporter HP: 1794, MP: 30. Enemy HP: 2142, MP: 95. Attacker items: {'potion': 3, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 2, 'grenade': 0, 'elixer': 1}. Last enemy move: fire spell.","{""attacker"": ""attack"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1746, MP: 114. Supporter HP: 246, MP: 12. Enemy HP: 3553, MP: 234. Attacker items: {'potion': 2, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 2, 'grenade': 2, 'elixer': 1}. Last enemy move: fire spell.","{""attacker"": ""attack"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [potion] to restore some HP""}"
"Attacker HP: 2445, MP: 98. Supporter HP: 1905, MP: 26. Enemy HP: 5389, MP: 614. Attacker items: {'potion': 0, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 1, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""blizzard spell"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 1453, MP: 111. Supporter HP: 220, MP: 57. Enemy HP: 320, MP: 319. Attacker items: {'potion': 1, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""fire spell"", ""supporter"": ""cura_totm""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 1031, MP: 27. Supporter HP: 1288, MP: 141. Enemy HP: 3183, MP: 360. Attacker items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 1, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""elixer"", ""supporter"": ""cura_totm""}","{""attacker"": ""Attacker: [fire spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 2480, MP: 93. Supporter HP: 926, MP: 111. Enemy HP: 7406, MP: 593. Attacker items: {'potion': 2, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 0, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""blizzard spell"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 151, MP: 111. Supporter HP: 1119, MP: 144. Enemy HP: 2847, MP: 265. Attacker items: {'potion': 2, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""thunder spell"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 2310, MP: 68. Supporter HP: 196, MP: 73. Enemy HP: 5189, MP: 229. Attacker items: {'potion': 2, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 0, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""grenade"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 2372, MP: 102. Supporter HP: 2108, MP: 60. Enemy HP: 7624, MP: 528. Attacker items: {'potion': 0, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 0, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""thunder spell"", ""supporter"": ""cura_m""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1995, MP: 64. Supporter HP: 453, MP: 47. Enemy HP: 7861, MP: 264. Attacker items: {'potion': 1, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 2, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""elixer"", ""supporter"": ""cura_m""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 740, MP: 104. Supporter HP: 1063, MP: 164. Enemy HP: 1674, MP: 112. Attacker items: {'potion': 0, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 0, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""blizzard spell"", ""supporter"": ""cura_totm""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1078, MP: 62. Supporter HP: 1628, MP: 83. Enemy HP: 7385, MP: 83. Attacker items: {'potion': 3, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 0, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""attack"", ""supporter"": ""cura_totm""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 2047, MP: 59. Supporter HP: 280, MP: 122. Enemy HP: 73, MP: 436. Attacker items: {'potion': 0, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""attack"", ""supporter"": ""cura_totm""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 1015, MP: 14. Supporter HP: 1990, MP: 82. Enemy HP: 426, MP: 210. Attacker items: {'potion': 3, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 0, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""grenade"", ""supporter"": ""cura_totm""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 2015, MP: 46. Supporter HP: 950, MP: 72. Enemy HP: 496, MP: 613. Attacker items: {'potion': 2, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 0, 'elixer': 1}. Last enemy move: fire spell.","{""attacker"": ""blizzard spell"", ""supporter"": ""cura_m""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 627, MP: 80. Supporter HP: 1427, MP: 132. Enemy HP: 461, MP: 261. Attacker items: {'potion': 3, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""attack"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 94, MP: 15. Supporter HP: 241, MP: 89. Enemy HP: 1539, MP: 590. Attacker items: {'potion': 1, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 2, 'grenade': 0, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""elixer"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [potion] to restore some HP"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 20, MP: 115. Supporter HP: 1122, MP: 0. Enemy HP: 6311, MP: 388. Attacker items: {'potion': 1, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 2, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""attack"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 541, MP: 34. Supporter HP: 1046, MP: 159. Enemy HP: 873, MP: 489. Attacker items: {'potion': 3, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 2, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""attack"", ""supporter"": ""cura_m""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 2025, MP: 33. Supporter HP: 175, MP: 99. Enemy HP: 2866, MP: 621. Attacker items: {'potion': 0, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 2, 'elixer': 1}. Last enemy move: fire spell.","{""attacker"": ""grenade"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [thunder spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 801, MP: 9. Supporter HP: 1078, MP: 21. Enemy HP: 7802, MP: 461. Attacker items: {'potion': 2, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 2, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""attack"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 231, MP: 56. Supporter HP: 1273, MP: 11. Enemy HP: 3887, MP: 215. Attacker items: {'potion': 2, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 2, 'grenade': 0, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""thunder spell"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 479, MP: 95. Supporter HP: 567, MP: 79. Enemy HP: 7008, MP: 286. Attacker items: {'potion': 3, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""fire spell"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 1935, MP: 92. Supporter HP: 1060, MP: 3. Enemy HP: 3171, MP: 395. Attacker items: {'potion': 0, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 2, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""cura spell"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [attack] as default action""}"
"Attacker HP: 37, MP: 54. Supporter HP: 691, MP: 39. Enemy HP: 1832, MP: 91. Attacker items: {'potion': 2, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 2, 'grenade': 1, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""potion"", ""supporter"": ""cura_m""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 2138, MP: 28. Supporter HP: 471, MP: 109. Enemy HP: 5763, MP: 253. Attacker items: {'potion': 3, 'grenade': 0, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 0, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""grenade"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [fire spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 124, MP: 108. Supporter HP: 979, MP: 39. Enemy HP: 4409, MP: 477. Attacker items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 2, 'grenade': 0, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""thunder spell"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 800, MP: 118. Supporter HP: 74, MP: 99. Enemy HP: 6671, MP: 383. Attacker items: {'potion': 3, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 1, 'grenade': 0, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""thunder spell"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 1764, MP: 83. Supporter HP: 1379, MP: 89. Enemy HP: 7643, MP: 561. Attacker items: {'potion': 3, 'grenade': 0, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""potion"", ""supporter"": ""cura_totm""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 695, MP: 6. Supporter HP: 1085, MP: 56. Enemy HP: 4855, MP: 688. Attacker items: {'potion': 1, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 2, 'elixer': 1}. Last enemy move: cura spell.","{""attacker"": ""potion"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [grenade] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 316, MP: 17. Supporter HP: 1973, MP: 100. Enemy HP: 20, MP: 147. Attacker items: {'potion': 2, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 0, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""grenade"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [potion] to restore some HP"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 1033, MP: 96. Supporter HP: 1006, MP: 119. Enemy HP: 298, MP: 508. Attacker items: {'potion': 3, 'grenade': 1, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 2, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""elixer"", ""supporter"": ""cura_m""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1799, MP: 88. Supporter HP: 1307, MP: 68. Enemy HP: 2915, MP: 278. Attacker items: {'potion': 0, 'grenade': 2, 'elixer': 0}. Supporter items: {'potion': 3, 'grenade': 2, 'elixer': 0}. Last enemy move: attack.","{""attacker"": ""attack"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1020, MP: 84. Supporter HP: 212, MP: 65. Enemy HP: 6997, MP: 229. Attacker items: {'potion': 2, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 0, 'grenade': 0, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""meteor spell"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 695, MP: 105. Supporter HP: 1300, MP: 138. Enemy HP: 2320, MP: 187. Attacker items: {'potion': 1, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 1, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""grenade"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1658, MP: 43. Supporter HP: 289, MP: 178. Enemy HP: 762, MP: 504. Attacker items: {'potion': 2, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 1, 'grenade': 0, 'elixer': 0}. Last enemy move: cura spell.","{""attacker"": ""potion"", ""supporter"": ""fire spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 495, MP: 8. Supporter HP: 508, MP: 52. Enemy HP: 4773, MP: 49. Attacker items: {'potion': 1, 'grenade': 0, 'elixer': 0}. Supporter items: {'potion': 1, 'grenade': 2, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""potion"", ""supporter"": ""splash""}","{""attacker"": ""Attacker: [potion] to restore some HP"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
"Attacker HP: 2369, MP: 65. Supporter HP: 1932, MP: 100. Enemy HP: 7423, MP: 441. Attacker items: {'potion': 0, 'grenade': 0, 'elixer': 1}. Supporter items: {'potion': 2, 'grenade': 0, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""cura spell"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 1780, MP: 81. Supporter HP: 1331, MP: 152. Enemy HP: 2851, MP: 215. Attacker items: {'potion': 0, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 1, 'grenade': 2, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""meteor spell"", ""supporter"": ""cura spell""}","{""attacker"": ""Attacker: [meteor spell] to maximize damage"", ""supporter"": ""Supporter: [fire spell] to maximize damage""}"
"Attacker HP: 483, MP: 104. Supporter HP: 1643, MP: 61. Enemy HP: 5295, MP: 442. Attacker items: {'potion': 2, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 1, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""fire spell"", ""supporter"": ""cura_totm""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 434, MP: 63. Supporter HP: 751, MP: 104. Enemy HP: 7054, MP: 602. Attacker items: {'potion': 1, 'grenade': 0, 'elixer': 1}. Supporter items: {'potion': 3, 'grenade': 2, 'elixer': 1}. Last enemy move: fire spell.","{""attacker"": ""grenade"", ""supporter"": ""cura_tot""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 557, MP: 54. Supporter HP: 964, MP: 146. Enemy HP: 4055, MP: 55. Attacker items: {'potion': 3, 'grenade': 2, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 0, 'elixer': 0}. Last enemy move: fire spell.","{""attacker"": ""potion"", ""supporter"": ""cura_m""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura_m] to heal attacker""}"
"Attacker HP: 169, MP: 109. Supporter HP: 388, MP: 174. Enemy HP: 374, MP: 565. Attacker items: {'potion': 3, 'grenade': 1, 'elixer': 1}. Supporter items: {'potion': 0, 'grenade': 1, 'elixer': 1}. Last enemy move: attack.","{""attacker"": ""blizzard spell"", ""supporter"": ""attack""}","{""attacker"": ""Attacker: [cura spell] because HP is low"", ""supporter"": ""Supporter: [cura spell] because HP is low""}"
